	name	encoding
0	doni	"[-0.10561854  0.09489575  0.02314867 -0.08761104 -0.02755146 -0.00344124
 -0.04577461 -0.0261718   0.20401922 -0.10355265  0.22251584  0.0314295
 -0.23486294 -0.06872051 -0.01797819  0.03967771 -0.15188779 -0.10241077
 -0.08345357 -0.13638574  0.0235631   0.00730477  0.02250167  0.0884466
 -0.13898654 -0.31703135 -0.0869278  -0.10909791  0.05308478 -0.15237463
 -0.06067843 -0.03505362 -0.19753745 -0.06050708 -0.08196895  0.09372637
 -0.05151908 -0.07178563  0.20743345  0.03754261 -0.10504697  0.0168994
 -0.01751573  0.33439824  0.1725338   0.04018807  0.04128829 -0.05313424
  0.14143223 -0.2433183   0.13333583  0.19454718  0.13177559  0.04924039
  0.07064102 -0.13696539 -0.00587835  0.11977869 -0.17915845  0.08768999
  0.04608104 -0.01001585 -0.01840159 -0.07638348  0.20832926  0.12502988
 -0.10672121 -0.12841322  0.13588941 -0.19050735 -0.0153096   0.11130535
 -0.0904862  -0.22544523 -0.20772023  0.13646838  0.42766193  0.22849397
 -0.11780331  0.04710922 -0.16881333 -0.11048903  0.07882619  0.04724484
 -0.08844855  0.03998733 -0.10953607  0.1052494   0.20342179  0.02013251
 -0.05047034  0.19138189  0.05534353  0.02024891  0.02963632  0.02672923
 -0.13629004  0.0537352  -0.09942883  0.04590832  0.02621879 -0.11640194
 -0.01500497  0.01783376 -0.17277075  0.18106483  0.04005112 -0.06596346
 -0.01571763  0.02773872 -0.14066879 -0.06864905  0.17108738 -0.3291893
  0.15225187  0.17386958  0.08999103  0.21184775  0.05590667  0.1080057
  0.02789478 -0.05188458 -0.13924295 -0.0622631   0.02029994  0.01209079
  0.0974074   0.05059841]"
1	doni	"[-0.07047354  0.09178843  0.02991842 -0.06594691 -0.08038806  0.00594208
 -0.04346782  0.01007378  0.19555591 -0.0674229   0.19982144  0.02463489
 -0.26786914 -0.01678127 -0.06499989  0.07559147 -0.12440285 -0.07245652
 -0.09281565 -0.15676676  0.00997163  0.06109696  0.02137671  0.08757949
 -0.11209784 -0.30044347 -0.08583211 -0.09497203  0.07442746 -0.18242288
 -0.05927388 -0.02706542 -0.17179437 -0.08215985 -0.04001838  0.07351071
 -0.09695977 -0.12824078  0.20200838  0.07171239 -0.09162139  0.02662341
  0.00654173  0.34273586  0.15233405  0.01448705  0.03994707 -0.04944626
  0.11661761 -0.27227986  0.10225444  0.19892748  0.06845455  0.10239661
  0.07408131 -0.14593165  0.00865811  0.15346539 -0.18713802  0.12208987
  0.04216276 -0.02300562 -0.00411372 -0.07487106  0.17133515  0.12004132
 -0.09638087 -0.14157572  0.12937912 -0.20957169 -0.02345587  0.10002357
 -0.08185184 -0.20807745 -0.21140426  0.13028641  0.41252553  0.24066713
 -0.07362627  0.04169013 -0.13028154 -0.10172684  0.04810377  0.04063996
 -0.08494563  0.01869315 -0.0823008   0.11056685  0.19502456  0.02391334
 -0.04993262  0.21616673  0.04489477  0.0218041   0.04950856  0.06065243
 -0.14309594  0.02150704 -0.08937407  0.0555398   0.02668473 -0.17930724
  0.00755049  0.0183655  -0.16745296  0.16939123  0.02958808 -0.06624827
 -0.02601186  0.03610792 -0.15912734 -0.01779585  0.20958005 -0.31317019
  0.2215682   0.19730723  0.10986336  0.18329175  0.06758891  0.07974939
  0.01987522 -0.08264363 -0.09291966 -0.08527958 -0.02052752 -0.00125225
  0.0608332   0.05616295]"
2	doni	"[-0.11644339  0.09629121  0.02930107 -0.10956569 -0.06976431 -0.01988775
 -0.01700858  0.01900231  0.21083882 -0.06223816  0.19754317  0.02402799
 -0.23236074 -0.02696462 -0.08694191  0.06538324 -0.19255607 -0.06663438
 -0.07953279 -0.13119224  0.07049542  0.06261776 -0.00538282  0.05865104
 -0.14536497 -0.2806944  -0.09019609 -0.1126705   0.05769598 -0.15913613
 -0.01096213 -0.00531135 -0.19524889 -0.08088724 -0.05535633  0.11739849
 -0.07588834 -0.10775455  0.19436522  0.08518565 -0.07520062  0.00169841
 -0.00470035  0.3455393   0.15288827  0.03535357  0.02929921 -0.03365125
  0.14615624 -0.28264323  0.04310965  0.20643981  0.06658773  0.11290626
  0.05527931 -0.1368439   0.08013736  0.12415161 -0.22929747  0.07323715
  0.03166832 -0.05506437  0.02643036 -0.01910848  0.18391459  0.09362219
 -0.07070661 -0.11922839  0.14156061 -0.20767796 -0.03014232  0.08529513
 -0.08301837 -0.20502695 -0.22209108  0.09792194  0.39701149  0.23445292
 -0.07993717  0.05240983 -0.15283756 -0.09698851  0.08852348  0.02377768
 -0.09416009  0.06316708 -0.14048195  0.09076161  0.22586533 -0.00854117
 -0.03444709  0.21616557  0.07664149  0.00807753  0.06295255  0.00697656
 -0.14031914  0.01956487 -0.09965723  0.04392972  0.0362623  -0.1563365
 -0.02682408  0.03152627 -0.16642563  0.15432347  0.02213825 -0.10348493
 -0.10965611 -0.04192292 -0.16225855 -0.0167059   0.20564413 -0.26540995
  0.19595706  0.21467197  0.0593357   0.21086812  0.08583099  0.05903354
 -0.02057292 -0.07315359 -0.08005083 -0.08877254  0.00772087  0.02874461
  0.08644073  0.01974375]"
3	doni	"[-0.07411886  0.12692396  0.05891002 -0.07240419 -0.09808377 -0.01570821
 -0.07736261  0.04922478  0.20568839 -0.10535103  0.24746348 -0.01435649
 -0.22939689 -0.01124102 -0.1044338   0.06560247 -0.11518872 -0.04434826
 -0.10982872 -0.13059783  0.09108703  0.0991547  -0.02757823  0.05367455
 -0.13768734 -0.28423911 -0.06711033 -0.10451387  0.07486286 -0.21134925
 -0.0398103   0.0208309  -0.17210847 -0.09093796 -0.04142949  0.08330545
 -0.00968189 -0.10698931  0.16308235  0.05950591 -0.09578989 -0.00652257
  0.01819341  0.31116211  0.14702195  0.02503601  0.00860543 -0.02375338
  0.14215371 -0.21305183  0.03899785  0.19170453  0.08364598  0.08783165
  0.11555347 -0.14867702  0.05326889  0.11005441 -0.20593135  0.06013965
  0.02229453  0.00304509  0.00281917 -0.02549043  0.13353698  0.06577613
 -0.04080324 -0.14498115  0.15576181 -0.19447936 -0.00187228  0.12869699
 -0.10674143 -0.18128406 -0.16874523  0.06925498  0.40595847  0.2251787
 -0.0902117   0.08224822 -0.08410968 -0.14701547  0.06582467 -0.01129473
 -0.07087725  0.06390053 -0.10179597  0.1357892   0.21829656  0.0231448
 -0.02426312  0.21690881  0.03166905 -0.02197046  0.06129158 -0.02294138
 -0.14254922  0.01794881 -0.09646625  0.02647804  0.05200644 -0.15818691
 -0.05472894  0.00923616 -0.15858708  0.1070613   0.02127701 -0.05999443
 -0.10082234  0.006353   -0.18627983  0.01834173  0.23363855 -0.22466302
  0.1884433   0.14131749  0.08601833  0.15468837  0.10475586  0.03868837
  0.05026945 -0.09984054 -0.08418947 -0.12818769 -0.00478967 -0.03894865
  0.09294619  0.00249751]"
4	doni	"[-7.48513341e-02  9.27444622e-02  6.11131452e-02 -4.97279167e-02
 -5.17634787e-02  5.92076872e-03 -1.55989882e-02 -1.41939428e-03
  2.03641355e-01 -6.44053221e-02  2.25867242e-01 -2.49248669e-02
 -2.63616323e-01 -4.89477143e-02 -6.11291677e-02  4.46506925e-02
 -1.54557437e-01 -9.52113122e-02 -5.39432243e-02 -1.62623301e-01
  7.32375681e-02  7.60442242e-02 -3.83209363e-02  1.44880898e-02
 -1.71257004e-01 -3.40682209e-01 -4.57571298e-02 -1.01507202e-01
  3.53518017e-02 -1.47551432e-01 -1.65073350e-02  3.63061205e-02
 -2.36447096e-01 -9.54951048e-02 -4.92282137e-02  1.00319430e-01
 -4.79737110e-02 -6.53470606e-02  1.39002144e-01  5.18071875e-02
 -9.15578157e-02 -1.01736560e-03  2.86898799e-02  2.78427988e-01
  1.25817522e-01  7.77907670e-02  6.16274774e-05 -3.75073105e-02
  8.80973414e-02 -2.17353269e-01  4.00316566e-02  2.03403279e-01
  6.64845780e-02  8.46354365e-02  4.16842140e-02 -1.83134049e-01
  3.46605480e-03  5.68136983e-02 -1.98884115e-01  7.47107044e-02
  2.20885538e-02 -8.73542726e-02 -5.12227975e-03 -9.40396171e-03
  1.47774294e-01  3.41002494e-02 -3.30941193e-02 -1.31008029e-01
  1.63230658e-01 -1.86904281e-01 -2.30275989e-02  9.95647684e-02
 -4.55352105e-02 -1.95241109e-01 -2.10686743e-01  1.04994126e-01
  3.89296651e-01  1.58257619e-01 -1.05240233e-01  7.06272349e-02
 -1.33418217e-01 -9.41679403e-02  7.53085613e-02  3.53120407e-03
 -4.79810573e-02  5.60279265e-02 -1.59797072e-01  7.69083500e-02
  2.07949072e-01  1.16290906e-02 -3.86939049e-02  2.05893874e-01
  8.51626508e-03  8.77846777e-03  8.14692453e-02  4.03354391e-02
 -1.84411615e-01  4.70335186e-02 -1.06398717e-01 -3.22498865e-02
  9.11434069e-02 -1.40220895e-01 -3.82598788e-02  4.29370999e-02
 -1.69740632e-01  1.51320651e-01  1.08716413e-02 -7.85627291e-02
 -4.75118607e-02 -2.41476670e-02 -1.21195234e-01 -2.67410520e-02
  2.00707808e-01 -2.74362952e-01  1.83287427e-01  1.72440529e-01
  5.01509458e-02  2.38987237e-01  8.90396237e-02  6.06520921e-02
 -3.48928850e-03 -8.97536650e-02 -1.46224737e-01 -1.26968965e-01
 -2.21729428e-02  1.89488903e-02  7.38781318e-02  3.60464901e-02]"
5	doni	"[-0.09430908  0.09051694  0.03892169 -0.08335901 -0.12842721  0.031168
  0.02159262  0.00179206  0.22122945 -0.07683192  0.19199637  0.00269802
 -0.29718024  0.01685029 -0.05963133  0.03136022 -0.13318898 -0.07353884
 -0.07812452 -0.14542584  0.06913671  0.06852903 -0.00491607  0.06872945
 -0.13252729 -0.28616399 -0.0953879  -0.09144751  0.08788301 -0.17535193
 -0.01882246  0.00059383 -0.1942447  -0.07832746 -0.06846112  0.07719563
 -0.09676358 -0.1404954   0.17543276  0.0509981  -0.08673494 -0.03470396
 -0.008675    0.34239805  0.11710891  0.01838375  0.01863575 -0.06820498
  0.10922035 -0.27141255  0.08720987  0.19486995  0.09681747  0.08744219
  0.07460208 -0.16955784  0.07709065  0.12019953 -0.21667874  0.11941141
  0.07461151 -0.06301977  0.00594757 -0.06639726  0.17757048  0.08933463
 -0.03890901 -0.15455317  0.14828391 -0.20426917 -0.04032993  0.11603452
 -0.09150384 -0.21367247 -0.21251673  0.1101649   0.44305104  0.26428419
 -0.09460329  0.0394509  -0.14556116 -0.06532572  0.1089948   0.02414177
 -0.10644543  0.01107378 -0.15623538  0.12218733  0.20222504 -0.02392631
 -0.06351471  0.21337426  0.08105345 -0.01129428  0.06415083  0.00206772
 -0.14911133  0.05562253 -0.09507675  0.03847109  0.06973455 -0.17463836
 -0.00536131  0.05536698 -0.1835954   0.16978912  0.027433   -0.10294908
 -0.04107744 -0.05135918 -0.18556422 -0.00554704  0.22305956 -0.31699607
  0.18422686  0.18092543  0.08475923  0.21245889  0.05702971  0.09682596
  0.0061867  -0.0840346  -0.12035125 -0.0682789   0.02772558 -0.00482505
  0.05895085  0.03933308]"
6	doni	"[-0.16637063  0.15368636  0.06675669 -0.09852619 -0.0847642  -0.00390191
 -0.04340237 -0.04576     0.2046726  -0.09070016  0.2613799   0.06175295
 -0.25799364 -0.05844317 -0.02498923  0.08000723 -0.16217844 -0.08408324
 -0.02983207 -0.10350752  0.07651233 -0.00562771 -0.00610063  0.04740839
 -0.14643942 -0.33094516 -0.10065012 -0.05277677  0.05602858 -0.12132896
  0.03641265 -0.04347548 -0.20835461 -0.03955816 -0.07422913  0.09720933
 -0.05827779 -0.09052923  0.19190069  0.04146054 -0.09730337 -0.02127922
  0.02011508  0.26616499  0.12894557  0.02608077  0.0890426  -0.09003346
  0.1002956  -0.21088107  0.06233324  0.20885947  0.03837195  0.07496312
  0.03327151 -0.16645566  0.04413377  0.10474208 -0.24229798  0.06941257
  0.07009626 -0.02392796 -0.05618689 -0.01317768  0.18234263  0.14098163
 -0.10464127 -0.1653496   0.17125446 -0.16985832 -0.02874553  0.08020681
 -0.12072853 -0.21233468 -0.25044334  0.10820012  0.43049818  0.18702915
 -0.08155376  0.02497296 -0.13649029 -0.11253693  0.05991366  0.06246563
 -0.07447533 -0.01023428 -0.11310241  0.13683441  0.18961935  0.04930192
 -0.034286    0.19577245  0.08291465  0.02502503  0.01048708  0.08732661
 -0.15627767  0.02652623 -0.1025872   0.0128743   0.01538989 -0.09511741
 -0.00690683  0.06828377 -0.16286257  0.19499925  0.05124383 -0.07914096
 -0.0857     -0.00722748 -0.14055119 -0.01361546  0.14989538 -0.23915632
  0.22127967  0.19067487  0.08119468  0.18591897  0.10673466  0.07461685
  0.02677893 -0.07729068 -0.10976452 -0.07180125 -0.06005538 -0.03416726
  0.10374186  0.02859019]"
7	doni	"[-0.09956352  0.13230093  0.0825953  -0.09828741 -0.09648716 -0.01067125
 -0.04728716 -0.04190971  0.20174097 -0.09476248  0.23015428  0.05745753
 -0.22089708 -0.00054867  0.01337849  0.03359096 -0.18320452 -0.06546921
 -0.06589773 -0.08222422  0.03505091  0.03460732 -0.01404968  0.01306724
 -0.11062102 -0.31574559 -0.12286064 -0.05240209  0.11631235 -0.11850015
  0.00959565 -0.03536309 -0.21722324 -0.04862643 -0.06211931  0.07024542
 -0.07612516 -0.12074371  0.19193062  0.03233553 -0.141179    0.02691343
 -0.02767129  0.24728745  0.12775226  0.03518736  0.0662832  -0.09280983
  0.139881   -0.23426907  0.11973932  0.18817478  0.06287851  0.04826259
  0.07322785 -0.19513628  0.01886974  0.12687095 -0.18916181  0.13570912
  0.11063132 -0.05657145 -0.03377532 -0.06492762  0.17265178  0.12406795
 -0.10931287 -0.19578555  0.12752591 -0.14538363 -0.0380412   0.14134701
 -0.08808849 -0.20948416 -0.23895274  0.14922468  0.48074859  0.19477415
 -0.12808688  0.01185395 -0.13904797 -0.09938926  0.10528629  0.10565615
 -0.06468154 -0.02336422 -0.13488734  0.09265426  0.21470651  0.02784571
 -0.07058172  0.21233521  0.03027972  0.07513183 -0.03391918  0.05828529
 -0.1601972   0.02976327 -0.06403304  0.01244502  0.09332603 -0.09126626
 -0.05769057  0.11377269 -0.13121688  0.20731887  0.01447615 -0.03801979
 -0.01038362 -0.02051947 -0.12049165 -0.01004444  0.1644924  -0.30205309
  0.22570981  0.1590918   0.04922456  0.1771812   0.10009459  0.09435023
  0.04005233 -0.05788961 -0.18524466 -0.08529917 -0.01511706 -0.00883951
  0.07747708  0.02843008]"
8	doni	"[-0.13449165  0.13117151  0.02668165 -0.08670763 -0.11497834  0.00922751
 -0.02057181 -0.00683339  0.19093142 -0.09448279  0.12759866 -0.00631081
 -0.24571197  0.03149629 -0.09494192  0.03898746 -0.16452247 -0.0758964
 -0.11414959 -0.18327022  0.02151869  0.09876859 -0.00189287  0.03266875
 -0.14838821 -0.3118763  -0.09787208 -0.1247467   0.03918289 -0.11793867
  0.03784651  0.01254724 -0.16401978 -0.01827363 -0.04176862  0.05542227
 -0.10051429 -0.06170932  0.20148101  0.05807328 -0.07155892 -0.03215239
  0.04437275  0.3603195   0.14776607  0.06206593  0.00550602 -0.05386689
  0.13683899 -0.23999755  0.11087346  0.21729366  0.05345069  0.09680555
  0.1206277  -0.11482145  0.06096961  0.07384723 -0.18487175  0.09400187
  0.05282951 -0.07561037 -0.07586602 -0.04109278  0.18649077  0.11349843
 -0.0553128  -0.12427972  0.20749469 -0.21675563 -0.03466555  0.0810628
 -0.07263836 -0.16939819 -0.18927917  0.08800334  0.43984953  0.22031243
 -0.07255091  0.03190917 -0.09808623 -0.11218908  0.10359471  0.0648689
 -0.14491943 -0.02609958 -0.08987176  0.13701725  0.20047717 -0.0255877
 -0.06330874  0.18818219  0.08240794 -0.04233496  0.04976015  0.00107179
 -0.16418169  0.00330913 -0.09946366  0.01635396  0.12392548 -0.14177075
 -0.05081522  0.0512628  -0.15920107  0.17883931  0.03638593 -0.11295021
 -0.04988374 -0.03698092 -0.15813214 -0.01930921  0.22043146 -0.23543251
  0.18449923  0.13918036  0.01929747  0.21006639  0.05814476  0.08806952
  0.01314673 -0.06494962 -0.11939302 -0.1235282   0.01989064  0.02605044
  0.04045251  0.02907845]"
9	doni	"[-1.31423682e-01  1.47256568e-01  1.87350735e-02 -9.38180089e-02
 -7.19033480e-02  2.69205812e-02 -2.05973666e-02 -3.47101688e-02
  2.01775283e-01 -1.52645037e-01  1.49438158e-01 -5.21455035e-02
 -2.78601170e-01  1.88656747e-02 -7.04344139e-02  8.25512111e-02
 -1.71634495e-01 -7.66275376e-02 -9.61182117e-02 -1.68781430e-01
  7.59512112e-02  9.55212787e-02 -2.96731461e-02  7.65647665e-02
 -1.08062938e-01 -3.02275747e-01 -8.42004716e-02 -9.95610133e-02
  7.39843845e-02 -7.61064515e-02 -1.62251629e-02  7.84427859e-03
 -1.74409360e-01  1.42589640e-02 -4.13188525e-02  5.94458058e-02
 -9.07952636e-02 -6.99751675e-02  1.82962358e-01  5.77190891e-02
 -9.46758538e-02 -2.67180894e-03  7.55466614e-03  3.40687007e-01
  1.07834846e-01  5.00503667e-02  6.54030591e-03 -9.07615200e-02
  1.83542609e-01 -2.64459044e-01  7.01112524e-02  2.16945812e-01
  1.09935552e-01  1.04091324e-01  1.02058522e-01 -1.69590935e-01
  5.98792508e-02  9.88846272e-02 -2.09076539e-01  1.42550007e-01
  5.70934862e-02 -8.41439366e-02 -6.91774786e-02 -8.00757781e-02
  1.53372094e-01  1.03306539e-01 -1.02866322e-01 -1.61342651e-01
  1.76633045e-01 -2.22684965e-01 -6.26000483e-03  1.56011358e-01
 -6.78401515e-02 -2.27692693e-01 -1.99251145e-01  1.05956160e-01
  4.25517499e-01  2.79194862e-01 -9.39516723e-02 -9.63202305e-03
 -6.81672096e-02 -7.05537722e-02  1.27635613e-01  1.03640288e-01
 -1.36328369e-01 -2.65096147e-02 -1.02466784e-01  1.08929008e-01
  1.84229180e-01 -3.65264267e-02 -5.49738668e-02  2.74492681e-01
  8.54627192e-02  1.74248330e-02 -3.70779410e-02  2.45340820e-02
 -1.60232916e-01 -3.30206938e-04 -6.97310045e-02  2.39341259e-02
  8.13256204e-02 -1.43226773e-01 -4.56236154e-02  4.93140370e-02
 -1.71189055e-01  1.93519101e-01 -7.47371558e-03 -6.68723136e-02
 -5.48216365e-02 -9.26854275e-03 -1.44556239e-01 -1.06108224e-03
  1.76706433e-01 -2.78337479e-01  1.37818322e-01  1.89525634e-01
  6.59576878e-02  1.97655693e-01  4.96254675e-02  8.47450942e-02
  3.12786475e-02 -1.10026509e-01 -1.57606110e-01 -1.25477016e-01
  4.98742610e-02  8.40684399e-03 -8.93949531e-03 -3.58359935e-03]"
